Gene.symbol,Probe_count,Representative_probe,logFC,adj.P.Val,P.Value,DEG_status,Direction_consistency,All_probe_IDs
TAL1,1,206283_s_at,-1.01170472,2.62e-13,8.13e-15,Down,Down,206283_s_at
ARHGAP20,1,228368_at,-1.28227667,2.71e-13,8.44e-15,Down,Down,228368_at
FLNA,1,213746_s_at,1.04902817,2.82e-13,8.83e-15,Up,Up,213746_s_at
SPOCK2,1,202524_s_at,1.87349884,2.86e-13,8.97e-15,Up,Up,202524_s_at
LOC102724927,1,1569577_x_at,-1.26807349,2.86e-13,8.97e-15,Down,Down,1569577_x_at
SGCD,4,230730_at,-1.94082916,3.15e-13,9.94e-15,Down,Down,230730_at|213543_at|228602_at|210330_at
XKRX,1,230349_at,1.187554,3.37e-13,1.07e-14,Up,Up,230349_at
CKB,1,200884_at,-1.1232034,3.39e-13,1.08e-14,Down,Down,200884_at
PTPRE,1,221840_at,1.25379158,3.45e-13,1.1e-14,Up,Up,221840_at
SEC16B,1,228150_at,1.01012725,3.67e-13,1.18e-14,Up,Up,228150_at
FLRT3,2,222853_at,1.86911378,3.72e-13,1.2e-14,Up,Up,222853_at|219250_s_at
INAFM2,1,225567_at,-1.10943928,3.79e-13,1.22e-14,Down,Down,225567_at
CDON,1,227526_at,-1.45337143,3.87e-13,1.25e-14,Down,Down,227526_at
FGF13,1,205110_s_at,-1.64773776,3.88e-13,1.26e-14,Down,Down,205110_s_at
NR1D1,1,204760_s_at,1.00791735,3.88e-13,1.26e-14,Up,Up,204760_s_at
THRA,1,204760_s_at,1.00791735,3.88e-13,1.26e-14,Up,Up,204760_s_at
PAPLN,1,226435_at,1.12194233,3.94e-13,1.28e-14,Up,Up,226435_at
RHOU,1,223168_at,1.07610458,3.94e-13,1.28e-14,Up,Up,223168_at
PLEKHG1,1,226122_at,1.30852526,3.99e-13,1.3e-14,Up,Up,226122_at
KCNN4,1,204401_at,1.91718576,4.13e-13,1.35e-14,Up,Up,204401_at
SLC43A3,2,210692_s_at,-1.36904543,4.52e-13,1.49e-14,Down,Down,210692_s_at|213113_s_at
MLLT11,1,211071_s_at,1.3671266,4.54e-13,1.5e-14,Up,Up,211071_s_at
